Identifier,Title,Implementation Applicable (Y/N),Non Applicability Rationale,Description from ISM
ISM-1639,Building management cables labelled with purpose,N,,"Building management cables are labelled with their purpose in black writing on a yellow background, with a minimum size of 2.5 cm x 1 cm, and attached at five-metre intervals."
ISM-1640,Cables for foreign systems labelled at inspection points,N,,Cables for foreign systems installed in Australian facilities are labelled at inspection points.
ISM-1820,Consistent cable colours per system,N,,Cables for individual systems use a consistent colour.
ISM-0926,Non-secret cables not coloured salmon pink or red,N,,"Non-classified, OFFICIAL: Sensitive and PROTECTED cables are coloured neither salmon pink nor red."
ISM-1718,SECRET cables coloured salmon pink,N,Protected classification; Control only applicable to SECRET classification,SECRET cables are coloured salmon pink.
ISM-1719,TOP SECRET cables coloured red,N,Protected classification; Control only applicable to TOP SECRET classification,TOP SECRET cables are coloured red.
ISM-1216,Secret cables with non-conformant colouring banded and labelled,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,SECRET and TOP SECRET cables with non-conformant cable colouring are banded with the appropriate colour and labelled at inspection points.
ISM-1112,Cables in non-TS areas inspectable every 5m or less,N,,Cables in non-TOP SECRET areas are inspectable every five metres or less.
ISM-1119,TOP SECRET cables fully inspectable,N,,Cables in TOP SECRET areas are fully inspectable for their entire length.
ISM-0187,SECRET cables run in dedicated bundles/conduit,N,Protected classification; Control only applicable to SECRET classification,"SECRET cables, when bundled together or run in conduit, are run exclusively in their own individual cable bundle or conduit."
ISM-1821,TOP SECRET cables run in dedicated bundles/conduit,N,Protected classification; Control only applicable to TOP SECRET classification,"TOP SECRET cables, when bundled together or run in conduit, are run exclusively in their own individual cable bundle or conduit."
ISM-1114,Partition/gap between cable bundles/conduits,N,,Cable bundles or conduits sharing a common cable reticulation system have a dividing partition or visible gap between each cable bundle and conduit.
ISM-1130,Shared facilities use enclosed reticulation systems,N,,"In shared facilities, cables are run in an enclosed cable reticulation system."
ISM-1164,Clear plastic conduits/trays in shared facilities,N,,"In shared facilities, conduits or the front covers of ducts, cable trays in floors and ceilings, and associated fittings are clear plastic."
ISM-0195,Use SCEC-approved tamper-evident seals on TOP SECRET covers,N,Protected classification; Control only applicable to TOP SECRET classification,"In shared facilities, uniquely identifiable SCEC-approved tamper-evident seals are used to seal all removable covers on TOP SECRET cable reticulation systems."
ISM-0194,Use conduit glue smear on TOP SECRET conduit joints,N,Protected classification; Control only applicable to TOP SECRET classification,"In shared facilities, a visible smear of conduit glue is used to seal all plastic conduit joints and TOP SECRET conduits connected by threaded lock nuts."
ISM-0201,TOP SECRET conduit labels meet requirements,N,Protected classification; Control only applicable to TOP SECRET classification,"Labels for TOP SECRET conduits are a minimum size of 2.5 cm x 1 cm, attached at five-metre intervals and marked as ‘TS RUN’."
ISM-1115,Cables to wall outlet boxes run in flexible/plastic conduit,N,,Cables from cable trays to wall outlet boxes are run in flexible or plastic conduit.
ISM-1133,TOP SECRET cables not run in party walls in shared facilities,N,Protected classification; Control only applicable to TOP SECRET classification,"In shared facilities, TOP SECRET cables are not run in party walls."
ISM-1122,TOP SECRET conduit sealing at wall penetrations,N,Protected classification; Control only applicable to TOP SECRET classification,"Where wall penetrations exit a TOP SECRET area into a lower classified area, TOP SECRET cables are encased in conduit with all gaps between the TOP SECRET conduit and the wall filled with an appropriate sealing compound."
ISM-1105,SECRET/TOP Wall outlet boxes contain only SECRET/TOP SECRET cables,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,SECRET and TOP SECRET wall outlet boxes contain exclusively SECRET or TOP SECRET cables.
ISM-1095,Wall outlet boxes denote system and cable identifiers,N,,"Wall outlet boxes denote the systems, cable identifiers and wall outlet box identifier."
ISM-1822,Wall outlet boxes use consistent colours per system,N,,Wall outlet boxes for individual systems use a consistent colour.
ISM-1107,Non-secret outlet boxes not salmon pink or red,N,,"Non-classified, OFFICIAL: Sensitive and PROTECTED wall outlet boxes are coloured neither salmon pink nor red."
ISM-1720,SECRET wall outlet boxes are salmon pink,N,Protected classification; Control only applicable to SECRET classification,SECRET wall outlet boxes are coloured salmon pink.
ISM-1721,TOP SECRET wall outlet boxes are red,N,Protected classification; Control only applicable to TOP SECRET classification,TOP SECRET wall outlet boxes are coloured red.
ISM-1109,Wall outlet box covers are clear plastic,N,,Wall outlet box covers are clear plastic.
ISM-0218,TOP SECRET fiber fly leads protected and labelled,N,Protected classification; Control only applicable to TOP SECRET classification,"If TOP SECRET fibre-optic fly leads exceeding five metres in length are used to connect wall outlet boxes to IT equipment, they are run in a protective and easily inspected pathway that is clearly labelled at the IT equipment end with the wall outlet box’s identifier."
ISM-1102,Cable reticulation systems terminated close to cabinets,N,,Cable reticulation systems leading into cabinets are terminated as close as possible to the cabinet.
ISM-1101,TOP SECRET reticulation systems terminated close to cabinets,N,,"In TOP SECRET areas, cable reticulation systems leading into cabinets in server rooms or communications rooms are terminated as close as possible to the cabinet."
ISM-1103,TOP SECRET reticulation systems terminated at cabinet boundary,N,,"In TOP SECRET areas, cable reticulation systems leading into cabinets not in server rooms or communications rooms are terminated at the boundary of the cabinet."
ISM-1098,SECRET cables terminated in individual cabinet or segregated,N,Protected classification; Control only applicable to SECRET classification,"SECRET cables are terminated in an individual cabinet; or for small systems, a cabinet with a division plate between any SECRET cables and non-SECRET cables."
ISM-1100,TOP SECRET cables terminated in individual cabinet,N,Protected classification; Control only applicable to TOP SECRET classification,TOP SECRET cables are terminated in an individual TOP SECRET cabinet.
ISM-0213,Secret/Top Secret cables terminated on individual patch panels,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,SECRET and TOP SECRET cables are terminated on their own individual patch panels.
ISM-0216,TOP SECRET patch panels in individual cabinets,N,Protected classification; Control only applicable to TOP SECRET classification,TOP SECRET patch panels are installed in individual TOP SECRET cabinets.
ISM-0217,Spatial constraints require physical barriers & controls for mixed cabinets,N,Protected classification; Control only applicable to TOP SECRET classification,"Where spatial constraints demand non-TOP SECRET patch panels be installed in the same cabinet as a TOP SECRET patch panel:
• a physical barrier in the cabinet is provided to separate patch panels
• only personnel holding a Positive Vetting security clearance have access to the cabinet
• approval from the TOP SECRET system’s authorising officer is obtained prior to installation."
ISM-1116,Visible gap between TOP SECRET and non-TOP SECRET cabinets,N,Protected classification; Control only applicable to TOP SECRET classification,A visible gap exists between TOP SECRET cabinets and non-TOP SECRET cabinets.
ISM-0198,Consult ASIO when penetrating TOP SECRET audio secure rooms,N,Protected classification; Control only applicable to TOP SECRET classification,"When penetrating a TOP SECRET audio secure room, the Australian Security Intelligence Organisation is consulted and all directions provided are complied with."
ISM-1123,TOP SECRET IT equipment powered via UPS-fed distribution board,N,Protected classification; Control only applicable to TOP SECRET classification,A power distribution board with a feed from an Uninterruptible Power Supply is used to power all TOP SECRET IT equipment.
ISM-0250,IT equipment meets EMI/EMC standards,N,,IT equipment meets industry and government standards relating to electromagnetic interference/electromagnetic compatibility.
ISM-1884,Comply with ASD emanation security doctrine,N,,Emanation security doctrine produced by ASD for the management of emanation security matters is complied with.
ISM-1137,Contact ASD for TEMPEST threat assessment for SECRET/TOP SECRET,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,System owners deploying SECRET or TOP SECRET systems within fixed facilities contact ASD for an emanation security threat assessment.
ISM-0249,Contact ASD for TEMPEST when deploying mobile/deployable SECRET/TOP SECRET systems,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"System owners deploying SECRET or TOP SECRET systems in mobile platforms, or as a deployable capability, contact ASD for an emanation security threat assessment."
ISM-0246,Seek emanation security threat assessment early in system lifecycle,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"When an emanation security threat assessment is required, it is sought as early as possible in a system’s life cycle."
ISM-1885,Implement TEMPEST recommended actions,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,Recommended actions contained within TEMPEST requirements statements issued for systems are implemented by system owners.
ISM-1078,Telephone system usage policy maintained,N,,"A telephone system usage policy is developed, implemented and maintained."
ISM-0229,Personnel advised of permitted sensitivity over phone,N,,Personnel are advised of the permitted sensitivity or classification of information that can be discussed over internal and external telephone systems.
ISM-0230,Personnel aware of non-secure telephone risks,N,,Personnel are advised of security risks posed by non-secure telephone systems in areas where sensitive or classified conversations can occur.
ISM-0231,Cryptographic equipment indicates connection types,N,,"When using cryptographic equipment to permit different levels of conversation for different kinds of connections, telephone systems give a visual indication of what kind of connection has been made."
ISM-0232,Encrypt telephone traffic over external systems,N,,Telephone systems used for sensitive or classified conversations encrypt all traffic that passes over external systems.
ISM-0233,Do not use unencrypted cordless phones for sensitive conversations,N,,Cordless telephone handsets and headsets are not used for sensitive or classified conversations unless all communications are encrypted.
ISM-0235,Speakerphones restricted in TOP SECRET areas,N,,"Speakerphones are not used on telephone systems in TOP SECRET areas unless the telephone system is located in an audio secure room, the room is audio secure during conversations and only personnel involved in conversations are present in the room."
ISM-0236,Use off-hook audio protection where background conversation levels exceed classification,N,,Off-hook audio protection features are used on telephone systems in areas where background conversations may exceed the sensitivity or classification that the telephone system is authorised for communicating.
ISM-0931,Use push-to-talk handsets in SECRET/TOP SECRET areas,N,,"In SECRET and TOP SECRET areas, push-to-talk handsets or push-to-talk headsets are used to meet any off-hook audio protection requirements."
ISM-1562,Video conferencing/IP telephony hardened,N,No VOIP,Video conferencing and IP telephony infrastructure is hardened.
ISM-0546,Use video-aware/voice-aware firewall/proxy for conferencing gateways,N,No VOIP,"When video conferencing or IP telephony traffic passes through a gateway containing a firewall or proxy, a video-aware or voice-aware firewall or proxy is used."
ISM-0548,Use secure SIP for conferencing/IP telephony,N,No VOIP,Video conferencing and IP telephony calls are established using a secure session initiation protocol.
ISM-0547,Use secure RTP for conferencing/IP telephony,N,No VOIP,Video conferencing and IP telephony calls are conducted using a secure real-time transport protocol.
ISM-0554,Use encrypted non-replayable two-way call authentication,N,No VOIP,An encrypted and non-replayable two-way authentication scheme is used for call authentication and authorisation.
ISM-0553,Authenticate/authorize all actions on video conferencing network,N,No VOIP,"Authentication and authorisation is used for all actions on a video conferencing network, including call setup and changing settings."
ISM-0555,Authenticate/authorize all actions on IP telephony network,N,No VOIP,"Authentication and authorisation is used for all actions on an IP telephony network, including registering a new IP phone, changing phone users, changing settings and accessing voicemail."
ISM-0551,IP telephony configured with secure registration and limited functions,N,No VOIP,"IP telephony is configured such that:
• IP phones authenticate themselves to the call controller upon registration
• auto-registration is disabled and only authorised devices are allowed to access the network
• unauthorised devices are blocked by default
• all unused and prohibited functionality is disabled."
ISM-1014,Individual logins for IP phones used for SECRET/TOP SECRET,N,No VOIP / Protected classification; Control only applicable to SECRET and TOP SECRET classifications,Individual logins are implemented for IP phones used for SECRET or TOP SECRET conversations.
ISM-0549,Separate conferencing/telephony traffic from other data,N,No VOIP,Video conferencing and IP telephony traffic is separated physically or logically from other data traffic.
ISM-0556,Workstations not connected to conferencing/IP phones without VLAN separation,N,No VOIP,"Workstations are not connected to video conferencing units or IP phones unless the workstation or the device uses Virtual Local Area Networks or similar mechanisms to maintain separation between video conferencing, IP telephony and other data traffic."
ISM-0558,Public-area IP phones restricted from data/network access,N,,"IP phones used in public areas do not have the ability to access data networks, voicemail and directory services."
ISM-0559,Microphones/webcams not used with non-SECRET workstations in SECRET areas,N,,Microphones (including headsets and USB handsets) and webcams are not used with non-SECRET workstations in SECRET areas.
ISM-1450,Microphones/webcams not used with non-TOP SECRET workstations in TOP SECRET areas,N,,Microphones (including headsets and USB handsets) and webcams are not used with non-TOP SECRET workstations in TOP SECRET areas.
ISM-1019,Denial-of-service plan for conferencing/IP telephony maintained,N,,"A denial of service response plan for video conferencing and IP telephony services is developed, implemented and maintained."
ISM-1805,"DOS plan contains detection, source identification, continuity and response actions",N,,"A denial of service response plan for video conferencing and IP telephony services contains the following:
• how to identify signs of a denial-of-service attack
• how to identify the source of a denial-of-service attack
• how capabilities can be maintained during a denial-of-service attack
• what actions can be taken to respond to a denial-of-service attack."
ISM-0588,MFD usage policy maintained,N,,"An MFD usage policy is developed, implemented and maintained."
ISM-0245,MFDs not connected to digital telephone systems,N,,MFDs are not connected to digital telephone systems.
ISM-1854,Authenticate to MFDs before print/scan/copy,N,,"Users authenticate to MFDs before they can print, scan or copy documents."
ISM-0590,MFD authentication strength equals connected network workstations,N,,Authentication measures for MFDs are the same strength as those used for workstations on networks they are connected to.
ISM-0589,MFDs not used for high sensitivity scanning/copying,N,,MFDs are not used to scan or copy documents above the sensitivity or classification of networks they are connected to.
ISM-1855,MFD print/scan/copy actions centrally logged,N,,"Use of MFDs for printing, scanning and copying purposes, including the capture of shadow copies of documents, are centrally logged."
ISM-1036,MFDs located where use can be observed,N,,MFDs are located in areas where their use can be observed.
ISM-2075,Do not use fax or online fax services,N,,"Fax machines, and online fax services, are not used for sending or receiving fax messages."
ISM-1297,Seek legal advice before allowing private devices access,N,,Legal advice is sought prior to allowing privately-owned mobile devices and desktop computers to access systems or data.
ISM-1400,Enforce separation of classified and personal data on private devices,N,,Personnel accessing OFFICIAL: Sensitive or PROTECTED systems or data using privately-owned mobile devices or desktop computers have enforced separation of classified data from personal data.
ISM-1866,Prevent storage of classified data on private devices,N,,Personnel accessing OFFICIAL: Sensitive or PROTECTED systems or data using privately-owned mobile devices or desktop computers are prevented from storing classified data on their privately-owned mobile devices and desktop computers.
ISM-0694,Private devices do not access SECRET/TOP SECRET systems,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,Privately-owned mobile devices and desktop computers do not access SECRET and TOP SECRET systems or data.
ISM-1482,Enforce separation of classified data on org-owned devices,N,,Personnel accessing systems or data using an organisation-owned mobile device or desktop computer have enforced separation of classified data from personal data.
ISM-0874,VPN to org gateway for internet access from devices,N,,Mobile devices and desktop computers access the internet via a VPN connection to an organisation’s internet gateway rather than via a direct connection to the internet.
ISM-0705,Disable split tunnelling for VPNs,N,,"When accessing an organisation’s network via a VPN connection, split tunnelling is disabled."
ISM-1533,Mobile device management policy maintained,N,,"A mobile device management policy is developed, implemented and maintained."
ISM-1195,MDM solutions have completed a CC evaluation against the PP MDM (v4.0 or later),N,,"Mobile Device Management solutions that have completed a Common Criteria evaluation against the Protection Profile for Mobile Device Management, version 4.0 or later, are used to enforce mobile device management policy."
ISM-1867,Use evaluated mobile platforms and follow ASD configs,N,,"Mobile devices that access OFFICIAL: Sensitive or PROTECTED systems or data use mobile platforms that have completed a Common Criteria evaluation against the Protection Profile for Mobile Device Fundamentals, version 3.3 or later, and are operated in accordance with the latest version of their associated ASD security configuration guide."
ISM-0687,SECRET/TOP SECRET mobile devices use ASD-approved platforms and operate in accordance to associated ASCI,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,Mobile devices that access SECRET or TOP SECRET systems or data use mobile platforms that have been issued an Approval for Use by ASD and are operated in accordance with the latest version of their associated Australian Communications Security Instruction.
ISM-0869,Mobile devices encrypt internal storage/removable media,N,,Mobile devices encrypt their internal storage and any removable media.
ISM-1868,SECRET/TOP SECRET mobile devices restrict removable media,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,SECRET and TOP SECRET mobile devices do not use removable media unless approved beforehand by ASD.
ISM-1085,Mobile devices encrypt sensitive/classified data over public networks,N,,Mobile devices encrypt all sensitive or classified data communicated over public network infrastructure.
ISM-1886,Mobile devices operated in supervised mode,N,,Mobile devices are configured to operate in a supervised (or equivalent) mode.
ISM-1887,Mobile devices have remote locate & wipe,N,,Mobile devices are configured with remote locate and wipe functionality.
ISM-1888,Mobile devices have secure lock screens,N,,Mobile devices are configured with secure lock screens.
ISM-0863,Prevent installation of non-approved apps on mobile devices,N,,Mobile devices prevent personnel from installing non-approved applications once provisioned.
ISM-0864,Prevent disabling/modifying security on mobile devices,N,,Mobile devices prevent personnel from disabling or modifying security functionality once provisioned.
ISM-1366,Apply security updates to mobile devices promptly,N,,Security updates are applied to mobile devices as soon as they become available.
ISM-1082,Mobile device usage policy maintained,N,,"A mobile device usage policy is developed, implemented and maintained."
ISM-1083,Personnel advised of permitted sensitivity for mobile communications,N,,Personnel are advised of the sensitivity or classification permitted for voice and data communications when using mobile devices.
ISM-1299,Mobile device travel precautions and hygiene guidance,N,,"Personnel are advised to take the following precautions when using mobile devices:
• never leave mobile devices or removable media unattended, including by placing them in checked-in luggage or leaving them in hotel safes
• never store credentials with mobile devices that they grant access to, such as in laptop computer bags
• never lend mobile devices or removable media to untrusted people, even if briefly
• never allow untrusted people to connect their mobile devices or removable media to your mobile devices, including for charging
• never connect mobile devices to designated charging stations or wall outlet charging ports
• never use gifted or unauthorised peripherals, chargers or removable media with mobile devices
• never use removable media for data transfers or backups that have not been checked for malicious code beforehand
• avoid reuse of removable media once used with other parties’ systems or mobile devices
• avoid connecting mobile devices to open or untrusted Wi-Fi networks
• consider disabling any communications capabilities of mobile devices when not in use, such as Wi-Fi, Bluetooth, Near Field Communication and ultra-wideband
• consider periodically rebooting mobile devices
• consider using a VPN connection to encrypt all cellular and wireless communications
• consider using encrypted email or messaging apps for all communications."
ISM-0240,Do not use SMS/MMS/pagers/messaging apps for sensitive data,N,,"Paging, Multimedia Message Service, Short Message Service and messaging apps are not used to communicate sensitive or classified data."
ISM-1196,Non-classified mobile devices remain undiscoverable except pairing,N,,"Non-classified, OFFICIAL: Sensitive and PROTECTED mobile devices are configured to remain undiscoverable to other Bluetooth devices except during Bluetooth pairing."
ISM-1200,Bluetooth pairing uses Secure Connections/Numeric Comparison,N,,"Bluetooth pairing for non-classified, OFFICIAL: Sensitive and PROTECTED mobile devices is performed using Secure Connections, preferably with Numeric Comparison if supported."
ISM-1198,Bluetooth pairing limited to intended devices,N,,"Bluetooth pairing for non-classified, OFFICIAL: Sensitive and PROTECTED mobile devices is performed in a manner such that connections are only made between intended Bluetooth devices."
ISM-1199,Remove Bluetooth pairings when no longer required,N,,"Bluetooth pairings for non-classified, OFFICIAL: Sensitive and PROTECTED mobile devices are removed when there is no longer a requirement for their use."
ISM-0682,Disable Bluetooth on SECRET/TOP SECRET devices,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,Bluetooth functionality is not enabled on SECRET and TOP SECRET mobile devices.
ISM-0866,Avoid viewing sensitive data on mobile devices in public,N,,Sensitive or classified data is not viewed on mobile devices in public locations unless care is taken to reduce the chance of the screen of a mobile device being observed.
ISM-1145,Apply privacy filters on SECRET/TOP SECRET device screens,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,Privacy filters are applied to the screens of SECRET and TOP SECRET mobile devices.
ISM-1644,Avoid sensitive calls in public without precautions,N,,Sensitive or classified phone calls and conversations are not conducted in public locations unless care is taken to reduce the chance of conversations being overheard.
ISM-0871,Keep mobile devices under direct supervision when used,N,,Mobile devices are kept under continual direct supervision when being actively used.
ISM-0870,Carry/store mobile devices in secured state when not used,N,,Mobile devices are carried or stored in a secured state when not being actively used.
ISM-1084,"If unable to secure, transfer devices in approved secure containers",N,,"If unable to carry or store mobile devices in a secured state, they are physically transferred in a security briefcase or an approved multi-use satchel, pouch or transit bag."
ISM-0701,Mobile device emergency sanitisation processes maintained,N,,"Mobile device emergency sanitisation processes, and supporting mobile device emergency sanitisation procedures, are developed, implemented and maintained."
ISM-0702,Use cryptographic zeroise/sanitise function for SECRET/TOP SECRET devices,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"If a cryptographic zeroise or sanitise function is provided for cryptographic keys on a SECRET or TOP SECRET mobile device, the function is used as part of mobile device emergency sanitisation processes and procedures."
ISM-1298,Advise personnel of risks travelling overseas with mobile devices,N,,Personnel are advised of privacy and security risks when travelling overseas with mobile devices.
ISM-1554,High-risk country travel: provisioned travel devices and tamper seals,N,,"If travelling overseas with mobile devices to high or extreme risk countries, personnel are:
• issued with newly provisioned user accounts, mobile devices and removable media from a pool of dedicated travel devices which are used solely for work-related activities
• advised on how to apply and inspect tamper seals to key areas of mobile devices
• advised to avoid taking any personal mobile devices, especially if rooted or jailbroken."
ISM-1555,Pre-travel mobile device preparation checklist,N,,"Before travelling overseas with mobile devices, personnel take the following actions:
• record all details of the mobile devices being taken, such as product types, serial numbers and International Mobile Equipment Identity numbers
• update all operating systems and applications
• remove all non-essential data, applications and user accounts
• backup all remaining data, applications and settings."
ISM-1088,Report potential compromise of mobile devices promptly,N,,"Personnel report the potential compromise of mobile devices, removable media or credentials to their organisation as soon as possible, especially if they:
• provide credentials to foreign government officials
• decrypt mobile devices for foreign government officials
• have mobile devices taken out of sight by foreign government officials
• have mobile devices or removable media stolen, including if later returned
• lose mobile devices or removable media, including if later found
• observe unusual behaviour of mobile devices."
ISM-1300,"Post-travel sanitise, reset credentials and report doubts",N,,"Upon returning from travelling overseas with mobile devices, personnel take the following actions:
• sanitise and reset mobile devices, including all removable media
• decommission any credentials that left their possession during their travel
• report if significant doubt exists as to the integrity of any mobile devices or removable media."
ISM-1556,Post-high-risk travel reset credentials and monitor accounts,N,,"If returning from travelling overseas with mobile devices to high or extreme risk countries, personnel take the following additional actions:
• reset credentials used with mobile devices, including those used for remote access to their organisation’s systems
• monitor user accounts for any indicators of compromise, such as failed logon attempts."
ISM-0280,Prefer PP-evaluated products when procuring evaluated products,Y,,"If procuring an evaluated product, a product that has completed a PP-based evaluation, including against all applicable PP modules (as well as a software bill of materials assessment if applicable), is selected in preference to one that has completed an EAL-based evaluation."
ISM-0285,Deliver evaluated products per delivery procedures defined in evaluation docs,Y,,Evaluated products are delivered in a manner consistent with any delivery procedures defined in associated evaluation documentation.
ISM-0286,Contact ASD for high-assurance IT delivery procedures,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"When procuring high assurance information technology (IT) equipment, ASD is contacted for any equipment-specific delivery procedures."
ISM-0289,Install evaluated products in evaluated configuration per vendor guidance,Y,,"Evaluated products are installed, configured, administered and operated in an evaluated configuration and in accordance with vendor guidance."
ISM-0290,High-assurance IT operated per ASD guidance and evaluated config,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"High assurance IT equipment is installed, configured, administered and operated in an evaluated configuration and in accordance with ASD guidance."
ISM-1551,IT equipment management policy maintained,N,,"An IT equipment management policy is developed, implemented and maintained."
ISM-1913,Approved configurations for IT equipment maintained,N,,"Approved configurations for IT equipment are developed, implemented and maintained."
ISM-1858,Harden IT equipment using ASD/vendor guidance (most restrictive),N,,"IT equipment is hardened using ASD and vendor hardening guidance, with the most restrictive guidance taking precedence when conflicts occur."
ISM-0336,Networked IT equipment register maintained,N,,"A networked IT equipment register is developed, implemented, maintained and verified on a regular basis."
ISM-1869,Non-networked IT equipment register maintained,N,,"A non-networked IT equipment register is developed, implemented, maintained and verified on a regular basis."
ISM-0294,Label IT equipment (except high-assurance) with protective markings,N,,"IT equipment, with the exception of high assurance IT equipment, is labelled with protective markings reflecting its sensitivity or classification."
ISM-0296,Seek ASD approval before labeling high-assurance equipment,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,ASD’s approval is sought before applying labels to external surfaces of high assurance IT equipment.
ISM-0293,Classify IT equipment by highest data sensitivity/classification it can handle,N,,"IT equipment is classified based on the highest sensitivity or classification of data that it is approved for processing, storing or communicating."
ISM-1599,Handle IT equipment suitably for its sensitivity/classification,N,,IT equipment is handled in a manner suitable for its sensitivity or classification.
ISM-1079,Seek ASD approval before maintenance on high-assurance equipment,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,ASD’s approval is sought before undertaking any maintenance or repairs to high assurance IT equipment.
ISM-0305,On-site maintenance by appropriately cleared technician,N,,Maintenance and repairs of IT equipment is carried out on site by an appropriately cleared technician.
ISM-0307,"If non-cleared technician, sanitise equipment before maintenance/repair",N,,"If an appropriately cleared technician is not used to undertake maintenance or repairs of IT equipment, the IT equipment and associated media is sanitised before maintenance or repair work is undertaken."
ISM-0306,Non-cleared technician is escorted by cleared and briefed escort,N,,"If an appropriately cleared technician is not used to undertake maintenance or repairs of IT equipment, the technician is escorted by someone who:
• is appropriately cleared and briefed
• takes due care to ensure that data is not disclosed
• takes all responsible measures to ensure the integrity of the IT equipment
• has the authority to direct the technician
• is sufficiently familiar with the IT equipment to understand the work being performed."
ISM-0310,Off-site maintenance at approved facilities,N,,IT equipment maintained or repaired off site is done so at facilities approved for handling the sensitivity or classification of the IT equipment.
ISM-1598,Post-maintenance inspection confirms configuration and integrity,N,,"Following maintenance or repair activities for IT equipment, the IT equipment is inspected to confirm it retains its approved configuration and that no unauthorised modifications have taken place."
ISM-0313,IT equipment sanitisation processes maintained,N,,"IT equipment sanitisation processes, and supporting IT equipment sanitisation procedures, are developed, implemented and maintained."
ISM-1741,IT equipment destruction processes maintained,N,,"IT equipment destruction processes, and supporting IT equipment destruction procedures, are developed, implemented and maintained."
ISM-0311,Sanitise IT equipment by removing or sanitising media,N,,IT equipment containing media is sanitised by removing the media from the IT equipment or by sanitising the media in situ.
ISM-1742,Destroy IT equipment that cannot be sanitised,N,,IT equipment that cannot be sanitised is destroyed.
ISM-1218,Sanitise overseas equipment in situ processing AUSTEO/AGAO,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"IT equipment, including associated media, that is located overseas and has processed, stored or communicated AUSTEO or AGAO data, is sanitised in situ."
ISM-0312,Return overseas equipment to Australia for destruction if cannot sanitise in situ,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"IT equipment, including associated media, that is located overseas and has processed, stored or communicated AUSTEO or AGAO data that cannot be sanitised in situ, is returned to Australia for destruction."
ISM-0315,Destroy high-assurance IT equipment before disposal,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,High assurance IT equipment is destroyed prior to its disposal.
ISM-0317,Print random text on each colour printer cartridge/drum,N,,At least three pages of random text with no blank areas are printed on each colour printer cartridge or MFD print drum.
ISM-1219,Inspect/destroy MFD print drums showing remanant toner or visible prints,N,,MFD print drums and image transfer rollers are inspected and destroyed if there is remnant toner which cannot be removed or a print is visible on the image transfer roller.
ISM-1220,Inspect/destroy printer platens if images/text retained,N,,Printer and MFD platens are inspected and destroyed if any text or images are retained on the platen.
ISM-1221,Check printers/MFDs for trapped pages after jams,N,,Printers and MFDs are checked to ensure no pages are trapped in the paper path due to a paper jam.
ISM-0318,Destroy cartridges/drums as per electrostatic memory devices when unsanitisable,N,,"When unable to sanitise printer cartridges or MFD print drums, they are destroyed as per electrostatic memory devices."
ISM-1534,Remove and destroy printer ribbons,N,,Printer ribbons in printers and MFDs are removed and destroyed.
ISM-1076,Sanitise monitors by displaying solid white image for burn-in,N,,Televisions and computer monitors with minor burn-in or image persistence are sanitised by displaying a solid white image on the screen for an extended period of time.
ISM-1222,Destroy monitors that cannot be sanitised,N,,Televisions and computer monitors that cannot be sanitised are destroyed.
ISM-1223,Sanitise network device memory per preference order,N,,"Memory in network devices is sanitised using the following processes, in order of preference:
• following device-specific guidance provided in evaluation documentation
• following vendor sanitisation guidance
• loading a dummy configuration file, performing a factory reset and then reinstalling firmware."
ISM-1550,IT equipment disposal processes maintained,N,,"IT equipment disposal processes, and supporting IT equipment disposal procedures, are developed, implemented and maintained."
ISM-1217,Remove owner/sensitivity markings before disposal,N,,"Labels and markings indicating the owner, sensitivity, classification or any other marking that can associate IT equipment with its prior use are removed prior to its disposal."
ISM-0321,Contact ASD for disposal of emanation-secured equipment,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"When disposing of IT equipment that has been designed or modified to meet emanation security standards, ASD is contacted for requirements relating to its disposal."
ISM-0316,Formal administrative decision to release sanitised/destroyed equipment,N,,"Following sanitisation, destruction or declassification, a formal administrative decision is made to release IT equipment, or its waste, into the public domain."
ISM-1549,Media management policy maintained,N,,"A media management policy is developed, implemented and maintained."
ISM-1359,Removable media usage policy maintained,N,,"A removable media usage policy is developed, implemented and maintained."
ISM-1713,Removable media register maintained,N,,"A removable media register is developed, implemented, maintained and verified on a regular basis."
